stationID,stationLat,stationLng,label
2,41.872638,-87.623979,0
3,41.86722596,-87.61535539,0
4,41.856268,-87.613348,0
5,41.874053,-87.627716,1
6,41.88504199,-87.61279454,0
7,41.88634906,-87.61751655,0
9,41.82879202,-87.68060446,3
11,41.76663824,-87.57645011,2
12,41.76640946,-87.56568757,2
13,41.932418,-87.652705,5
14,41.858086,-87.651073,3
15,41.858166,-87.656495,3
16,41.910337,-87.670072,4
17,41.90332,-87.67273,4
18,41.88327159,-87.63731329,1
19,41.869417,-87.660996,3
20,41.910522,-87.653106,5
21,41.87772613,-87.65478743,1
22,41.8694821,-87.6554864,3
23,41.902924,-87.637715,1
24,41.89186,-87.62062,1
25,41.89766,-87.62351,1
26,41.89102,-87.6173,1
27,41.91021,-87.6435,5
28,41.91468,-87.64332,5
29,41.90068,-87.6626,4
30,41.899643,-87.6677,4
31,41.896776,-87.635633,1
32,41.87464,-87.65703,3
33,41.877181,-87.627844,1
34,41.92675599,-87.63442879,0
35,41.892278,-87.612043,0
36,41.87770796,-87.63532114,1
37,41.87935636,-87.62979104,1
38,41.88602083,-87.63087606,1
39,41.87947235,-87.62568861,1
40,41.87934437,-87.63198522,1
41,41.87207763,-87.62954377,1
42,41.852619,-87.626488,3
43,41.88389277,-87.62464914,1
44,41.8847302,-87.62773357,1
45,41.876243,-87.624426,0
46,41.89993001,-87.63443007,1
47,41.88918,-87.6277,1
48,41.897764,-87.642884,1
49,41.88131982,-87.62952092,1
50,41.87593267,-87.63058454,1
51,41.88457623,-87.63188991,1
52,41.886024,-87.624117,1
53,41.894729,-87.633775,1
54,41.89636246,-87.65406127,4
55,41.867324,-87.648625,3
56,41.88871604,-87.64444785,1
57,41.86711778,-87.64108796,3
58,41.916017,-87.668879,4
59,41.867227,-87.625961,1
60,41.91057804,-87.64942193,5
61,41.907655,-87.672552,4
62,41.85137517,-87.61883465,0
66,41.885637,-87.641823,1
67,41.92560188,-87.65370804,5
68,41.875885,-87.640795,1
69,41.90939601,-87.67769193,4
71,41.88548331,-87.65230486,1
72,41.860384,-87.625813,1
73,41.880422,-87.642746,1
74,41.893882,-87.641711,1
75,41.878412,-87.641052,1
76,41.880958,-87.616743,0
77,41.882242,-87.641066,1
80,41.88042,-87.655599,1
81,41.884241,-87.629634,1
84,41.891,-87.645925,1
85,41.90096039,-87.62377664,0
86,41.89637337,-87.66098386,4
87,41.92556258,-87.65840426,5
88,41.88397,-87.655688,1
89,41.87500914,-87.63310582,1
90,41.8810317,-87.62408432,0
91,41.88338,-87.64117,1
92,41.894556,-87.653449,1
93,41.913688,-87.652855,5
94,41.918306,-87.636282,5
95,41.77870057,-87.58678762,2
96,41.88461619,-87.64457059,1
97,41.865312,-87.617867,0
98,41.882664,-87.63253,1
99,41.89257,-87.614492,0
100,41.888243,-87.63639,1
101,41.78101637,-87.57611976,2
102,41.7734585,-87.58533974,2
103,41.87146652,-87.64094913,1
106,41.897448,-87.628722,1
107,41.878287,-87.643909,1
108,41.87184,-87.64664,3
109,41.874675,-87.650019,3
110,41.893992,-87.629318,1
111,41.894666,-87.638437,1
112,41.883668,-87.64867,1
113,41.91844,-87.65222,5
114,41.949399,-87.654529,5
115,41.936266,-87.652662,5
116,41.915401,-87.687202,4
117,41.94018,-87.65304,5
118,41.911386,-87.638677,5
119,41.88541,-87.66732,4
120,41.853605,-87.631886,3
121,41.802562,-87.590368,2
122,41.87501,-87.67328,3
123,41.922695,-87.697153,4
124,41.855048,-87.675726,3
125,41.890011,-87.626293,1
126,41.911974,-87.631942,5
127,41.925905,-87.64926,5
128,41.895769,-87.67722,4
129,41.857556,-87.661535,3
130,41.90331,-87.67695,4
131,41.939365,-87.668385,5
132,41.849237,-87.631715,3
133,41.88917683,-87.63850577,1
134,41.877749,-87.649633,1
135,41.85378,-87.64665,3
136,41.865054,-87.656959,3
137,41.862378,-87.651062,3
138,41.904613,-87.640552,5
140,41.898969,-87.629912,1
141,41.915689,-87.6346,5
142,41.894503,-87.617854,1
143,41.922167,-87.638888,5
144,41.921822,-87.64414,5
145,41.89858665,-87.62191523,1
146,41.877945,-87.662007,1
147,41.845435,-87.622176,3
148,41.834734,-87.625813,3
149,41.8349,-87.61793,3
150,41.838556,-87.608218,0
152,41.932225,-87.658617,5
153,41.935733,-87.663576,5
154,41.93949,-87.66378,5
156,41.93649682,-87.64753866,5
157,41.936669,-87.636794,0
158,41.912616,-87.681391,4
159,41.907781,-87.685854,4
160,41.910535,-87.689556,4
161,41.89576475,-87.62590803,1
162,41.93588,-87.67842,5
163,41.931931,-87.677856,5
164,41.885837,-87.6355,1
165,41.95078,-87.659172,5
166,41.92883,-87.668507,5
167,41.8492,-87.67564,3
168,41.864059,-87.623727,0
169,41.874337,-87.639566,1
170,41.85795,-87.640826,3
171,41.855136,-87.654127,3
172,41.9023087,-87.62769053,1
173,41.89691,-87.621743,1
174,41.882091,-87.639833,1
175,41.872373,-87.633523,1
176,41.902973,-87.63128,1
177,41.926277,-87.630834,0
178,41.856594,-87.627542,1
179,41.82256,-87.61615,2
180,41.906782,-87.626402,5
181,41.890749,-87.63206,1
182,41.903222,-87.634324,1
183,41.899714,-87.677234,4
184,41.83104,-87.62688,3
185,41.917741,-87.691392,4
186,41.891795,-87.658751,1
188,41.92533,-87.6658,5
190,41.928773,-87.663913,5
191,41.880884,-87.639525,1
192,41.879255,-87.639904,1
193,41.841707,-87.626938,3
194,41.886875,-87.62603,1
195,41.884728,-87.619521,1
196,41.890573,-87.622072,1
197,41.882134,-87.625125,1
198,41.881892,-87.648789,1
199,41.891738,-87.626937,1
200,41.809851,-87.616279,2
201,41.82168,-87.6216,2
202,41.857499,-87.646277,3
203,41.85394,-87.685243,3
204,41.794853,-87.618691,2
205,41.857901,-87.668745,3
206,41.847203,-87.646795,3
207,41.84358,-87.645368,3
208,41.85381,-87.665897,3
209,41.849527,-87.640591,3
210,41.90345,-87.667747,4
211,41.894448,-87.622663,1
212,41.892154,-87.636928,1
213,41.910153,-87.68229,4
214,41.89122,-87.67686,4
215,41.88137,-87.67493,4
216,41.903029,-87.697474,4
217,41.886773,-87.656001,1
218,41.856802,-87.633879,3
219,41.916027,-87.677411,4
220,41.93262,-87.642385,5
222,41.920195,-87.693033,4
223,41.918216,-87.656936,5
224,41.913778,-87.64884,5
225,41.919936,-87.64883,5
226,41.939743,-87.658865,5
227,41.94815,-87.66394,5
228,41.9406,-87.6785,5
229,41.943739,-87.66402,5
230,41.94334,-87.67097,5
231,41.96167,-87.65464,5
232,41.949275,-87.646303,5
233,41.883004,-87.651148,1
234,41.961588,-87.666036,5
236,41.907576,-87.638517,5
237,41.842052,-87.617,3
238,41.961615,-87.674365,5
239,41.966555,-87.688487,5
240,41.954245,-87.654406,5
241,41.871737,-87.65103,3
242,41.967094,-87.679028,5
243,41.962391,-87.684146,5
244,41.95469,-87.67393,5
245,41.961004,-87.649603,5
246,41.956061,-87.668869,5
247,41.795212,-87.580715,2
248,41.795264,-87.596471,2
249,41.963982,-87.638181,5
250,41.936083,-87.669807,5
251,41.967968,-87.650001,5
252,41.809835,-87.599383,2
253,41.968873,-87.658857,5
254,41.954383,-87.648043,5
255,41.867888,-87.623041,0
256,41.952833,-87.649993,5
257,41.94911,-87.675112,5
258,41.930584,-87.685126,4
259,41.918121,-87.696972,4
260,41.929567,-87.707857,4
261,41.871514,-87.669886,3
262,41.827059,-87.64572,3
263,41.836208,-87.613533,3
264,41.886835,-87.62232,1
265,41.822985,-87.6071,2
267,41.809443,-87.591875,2
268,41.911722,-87.626804,0
270,41.75866967,-87.58688287,2
271,41.816499,-87.606582,2
272,41.838842,-87.621857,3
273,41.857813,-87.62455,1
274,41.861267,-87.656625,3
275,41.865234,-87.666507,3
276,41.91044,-87.6972,4
277,41.891072,-87.666611,4
278,41.830629,-87.64129,3
279,41.830661,-87.647172,3
280,41.8378,-87.65114,3
281,41.84847,-87.685109,3
282,41.864883,-87.647071,3
283,41.87817,-87.631985,1
284,41.87785,-87.62408,0
285,41.889587,-87.671956,4
286,41.878724,-87.634793,1
287,41.880317,-87.635185,1
288,41.918084,-87.643749,5
289,41.912133,-87.634656,5
290,41.921525,-87.707322,4
291,41.906724,-87.63483,5
292,41.957081,-87.664199,5
293,41.965485,-87.657238,5
294,41.978353,-87.659753,5
295,41.972972,-87.659637,5
296,41.940106,-87.645451,5
297,41.961507,-87.671387,5
298,41.955927,-87.679259,5
299,41.94367,-87.64895,5
300,41.937725,-87.644095,5
301,41.907993,-87.631501,1
302,41.928712,-87.653833,5
303,41.945512,-87.64598,5
304,41.949065,-87.648601,5
305,41.902893,-87.687275,4
306,41.958494,-87.654966,5
307,41.920771,-87.663712,5
308,41.943403,-87.679618,5
309,41.917805,-87.682437,4
310,41.920082,-87.677855,4
311,41.968885,-87.684001,5
312,41.957879,-87.649519,5
313,41.925858,-87.638973,5
314,41.957921,-87.673567,5
315,41.912919,-87.664169,4
316,41.96325,-87.679258,5
317,41.869154,-87.671045,3
318,41.954177,-87.664358,5
319,41.932595,-87.665939,5
320,41.872187,-87.661501,3
321,41.871962,-87.626106,1
322,41.799568,-87.594747,2
323,41.969517,-87.654691,5
324,41.93132,-87.638742,5
325,41.973385,-87.668365,5
326,41.967096,-87.667429,5
327,41.92154,-87.653818,5
328,41.788746,-87.601334,2
329,41.932684,-87.63625,0
330,41.946176,-87.673308,5
331,41.908537,-87.648627,5
332,41.933666,-87.648959,5
333,41.907066,-87.667252,4
334,41.940775,-87.639192,0
335,41.831379,-87.618034,3
336,41.809855,-87.606755,2
337,41.896544,-87.630931,1
338,41.857611,-87.619407,0
339,41.838198,-87.645143,3
340,41.929546,-87.643118,5
341,41.866095,-87.607267,0
342,41.871262,-87.673688,3
343,41.928887,-87.658971,5
344,41.96909,-87.674237,5
345,41.793242,-87.587782,2
346,41.88283,-87.661206,1
347,41.950687,-87.6687,5
348,41.854016,-87.695445,3
349,41.929143,-87.649077,5
350,41.895966,-87.667747,4
351,41.803038,-87.606615,2
352,41.77351755,-87.57714283,2
353,42.01256012,-87.67436712,5
354,42.01058656,-87.6624121,5
355,41.77366885,-87.56733865,2
356,41.76649294,-87.58646088,2
359,41.90348607,-87.64335349,5
364,41.90021949,-87.64298547,5
365,41.89936844,-87.64847988,5
366,41.84163254,-87.65743495,3
367,41.83069611,-87.65597591,3
368,41.83920868,-87.66560986,3
369,41.83010465,-87.67029831,3
370,41.85418425,-87.61915374,0
372,41.900146,-87.702882,4
373,41.8954653,-87.70612788,4
374,41.89841769,-87.68659602,4
375,41.889727,-87.70103,4
376,41.88949182,-87.68821937,4
377,41.88460329,-87.70630374,4
378,41.88445396,-87.69629814,4
381,41.87978771,-87.68611281,3
382,41.87474885,-87.68644528,3
383,41.87429061,-87.66724564,3
384,41.80183164,-87.6452139,2
385,41.794982,-87.633124,2
386,41.79292965,-87.64499006,2
388,41.77938114,-87.64462081,2
390,41.78007963,-87.62974631,2
391,41.76906172,-87.64461358,2
392,41.76929309,-87.62819593,2
393,41.76550801,-87.61691793,2
394,41.870816,-87.631246,1
395,41.75712007,-87.57583936,2
396,41.758768,-87.56644,2
397,41.75874584,-87.56011478,2
398,41.75787145,-87.54938625,2
399,41.76218896,-87.55927465,2
400,41.76571904,-87.60495971,2
401,41.842733,-87.635491,3
402,41.838464,-87.635406,3
403,41.83452989,-87.63182298,3
405,41.830777,-87.632504,3
406,41.83127424,-87.6087992,3
407,41.82301524,-87.62656802,2
408,41.81763809,-87.64356503,3
409,41.81620768,-87.63481935,3
410,41.81665889,-87.61941246,2
411,41.80813392,-87.64561655,3
412,41.80931771,-87.63344929,2
413,41.81409271,-87.59700515,2
414,41.870257,-87.639474,1
415,41.80229465,-87.61805358,2
416,41.805772,-87.592464,2
417,41.802406,-87.586924,2
418,41.79933626,-87.60095811,2
419,41.79949429,-87.5864499,2
420,41.79430062,-87.60144977,2
421,41.79342946,-87.61585326,2
422,41.79156801,-87.60785218,2
423,41.791478,-87.599861,2
424,41.79172821,-87.58394501,2
425,41.78794281,-87.58831517,2
426,41.78509715,-87.60107276,2
427,41.78059902,-87.60611239,2
428,41.78040565,-87.59141599,2
429,41.77372095,-87.60563486,2
430,41.78008064,-87.61594286,2
431,41.78414169,-87.61330783,2
432,42.009074,-87.67419,5
433,41.87359968,-87.70487075,3
434,41.86650148,-87.68469707,3
435,41.86649278,-87.70649618,4
436,41.866624,-87.694521,3
437,41.86148,-87.693374,3
438,41.85420431,-87.71540584,3
439,41.85353363,-87.70507303,3
440,41.84988195,-87.71700039,3
441,41.84819095,-87.70541375,3
442,41.84910969,-87.69513981,3
443,41.84456685,-87.71591031,3
444,41.84447501,-87.70201301,3
445,41.84404003,-87.69529592,3
446,41.84151771,-87.68513144,3
447,42.00797192,-87.66550239,5
448,42.00454962,-87.68066615,5
449,42.00445063,-87.67240241,5
450,42.00200726,-87.68972623,5
451,42.00104378,-87.66119824,5
452,41.99416137,-87.68943828,5
453,41.99925182,-87.67137734,5
454,41.99477969,-87.66028454,5
455,41.99023603,-87.69336964,5
456,41.991178,-87.683593,5
457,41.99089375,-87.6695834,5
458,41.98974251,-87.66014062,5
459,41.9840367,-87.65231047,5
460,41.983593,-87.669154,5
461,41.98404461,-87.66027383,5
462,41.97977022,-87.67581473,5
463,41.97799665,-87.66804711,5
464,41.97561481,-87.67945904,5
465,41.9716,-87.650154,5
466,42.01213228,-87.68291264,5
467,42.0085944,-87.69049224,5
468,41.98366471,-87.69642256,5
469,41.98039424,-87.71611496,5
470,41.975672,-87.709261,5
471,41.97563273,-87.70141944,5
472,41.9749113,-87.69250256,5
474,41.96835449,-87.71183067,5
475,41.96871107,-87.69616957,5
476,41.96668636,-87.70805198,5
477,41.96631753,-87.70108268,5
478,41.96590014,-87.69363849,5
479,41.96115408,-87.71656907,5
480,41.961041,-87.705866,5
481,41.961068,-87.695439,5
482,41.96152593,-87.69116504,5
483,41.953393,-87.732002,5
484,41.95400484,-87.71912818,5
485,41.95358618,-87.7093108,5
486,41.95434085,-87.68607962,5
487,41.95216219,-87.69805111,5
488,41.94563644,-87.72773681,4
489,41.94678185,-87.71642152,5
490,41.94524357,-87.7066499,4
491,41.94663583,-87.69461476,5
492,41.94702904,-87.68336721,5
493,41.94302617,-87.68739454,5
494,41.98239709,-87.70892252,5
495,41.96110802,-87.7289701,5
496,41.93944839,-87.72355383,4
497,41.939398,-87.711561,4
498,41.93842879,-87.69800776,4
499,41.93058537,-87.72377736,4
500,41.93533728,-87.71688929,4
501,41.93190197,-87.70119513,4
502,41.926618,-87.697899,4
503,41.92439882,-87.71544104,4
504,41.92463247,-87.68930701,4
505,41.92409085,-87.67646008,4
506,41.91718375,-87.71035665,4
507,41.91751339,-87.70180896,4
508,41.90965688,-87.71663195,4
509,41.9097693,-87.70528049,4
510,41.90270659,-87.70921957,4
511,41.91402671,-87.70512646,4
514,42.019276,-87.68452,5
515,42.019159,-87.673573,5
517,42.015963,-87.675005,5
518,41.885502,-87.716866,4
519,42.016977,-87.677725,5
520,42.015962,-87.66857,5
522,42.019537,-87.669563,5
523,42.021019,-87.665086,5
524,41.894887,-87.774704,2
525,42.012701,-87.666058,5
526,42.012342,-87.688243,5
527,42.018901,-87.690048,5
528,41.885409,-87.726491,4
529,41.886841,-87.745261,2
530,41.887832,-87.755527,2
531,41.887664,-87.765469,2
532,41.887919,-87.774446,2
533,41.875679,-87.71547,4
534,41.880827,-87.726279,4
535,41.874325,-87.725704,4
536,41.885928,-87.73541,4
537,41.880708,-87.741018,4
538,41.872131,-87.746619,4
539,41.877613,-87.745405,4
540,41.880207,-87.755337,2
541,41.872993,-87.764499,2
542,41.880121,-87.763238,2
543,41.875806,-87.755285,2
544,41.87998,-87.773264,2
545,41.877917,-87.735737,4
546,41.823192,-87.676597,3
547,41.823465,-87.665577,3
548,41.823613,-87.650931,3
549,41.813996,-87.666589,3
550,41.894958,-87.764902,2
551,41.808227,-87.67718,3
552,41.80887,-87.66454,3
553,41.80839,-87.656526,3
554,41.800908,-87.674684,3
555,41.803023,-87.664699,3
556,41.799659,-87.657195,2
557,41.794587,-87.674254,3
558,41.792822,-87.664429,2
559,41.794694,-87.654947,2
560,41.786833,-87.666215,2
561,41.783681,-87.674101,2
562,41.783189,-87.654372,3
563,41.779374,-87.664843,2
564,41.775393,-87.654308,2
565,41.774074,-87.663815,2
566,41.768726,-87.664069,2
567,41.768938,-87.652934,2
568,41.763462,-87.637297,2
569,41.75916,-87.595751,2
570,41.758308,-87.606685,2
571,41.758361,-87.614138,2
572,41.756971,-87.624621,2
573,41.750794,-87.624424,2
574,41.750951,-87.613783,2
575,41.753174,-87.605026,2
576,41.751294,-87.597552,2
577,41.751173,-87.585337,2
578,41.751802,-87.574845,2
579,41.75182,-87.565211,2
580,41.751731,-87.552812,2
581,41.744607,-87.551201,2
582,41.746334,-87.564725,2
583,41.746559,-87.586005,2
584,41.744123,-87.599034,2
585,41.744053,-87.604786,2
586,41.743116,-87.6148,2
587,41.743316,-87.622849,2
588,41.743921,-87.575225,2
589,41.954468,-87.749594,5
590,41.953733,-87.740569,5
591,41.948818,-87.74002,5
592,41.960631,-87.745359,5
593,41.787539,-87.644874,2
594,41.805661,-87.683392,3
595,41.736646,-87.622634,2
596,42.048214,-87.683485,5
597,42.032562,-87.679101,5
598,42.025784,-87.684107,5
599,42.039742,-87.699413,5
600,42.048308,-87.698224,5
601,42.063598,-87.69873,5
602,42.063999,-87.685962,5
603,42.050491,-87.677821,5
604,42.058239,-87.677432,5
605,42.052939,-87.673447,5
606,41.894355,-87.80022,2
607,41.898168,-87.783055,2
608,41.890491,-87.776842,2
609,41.88891,-87.800255,2
610,41.88681,-87.80287,2
611,41.886923,-87.793899,2
612,41.888085,-87.785236,2
613,41.879837,-87.80224,2
614,41.880113,-87.789247,2
615,41.87981,-87.779425,2
616,41.872987,-87.793945,2
617,41.871312,-87.788938,2
618,41.870699,-87.778797,2
619,41.924361,-87.727752,4
620,41.898203,-87.637536,1
